Game_Rank,Name,Platform,Publisher,Developer,Critic_Score,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Release_Year
86,Just Dance 3,Wii,Ubisoft,Ubisoft Paris,7.5,10.14,5.95,3.13,,1.06,07th Oct 11
87,Call of Duty: Ghosts,PS3,Activision,Infinity Ward,7.5,10.13,4.11,4.01,0.39,1.62,05th Nov 13
88,Horizon: Zero Dawn,PS4,Sony Interactive Entertainment,Guerrilla Games,9.1,5.82,2.2,2.43,0.28,0.92,28th Feb 17
89,Halo: Reach,X360,Microsoft Game Studios,Bungie,9.3,9.97,7.08,2.01,0.08,0.8,14th Sep 10
90,Halo 4,X360,Microsoft Studios,343 Industries,,9.96,6.72,2.36,0.04,0.83,06th Nov 12
91,Final Fantasy VII,PS,Sony Computer Entertainment,SquareSoft,9.6,9.72,3.01,2.47,3.28,0.96,03rd Sep 97
92,Mario Kart 64,N64,Nintendo,Nintendo EAD,8.5,9.87,5.55,1.94,2.23,0.15,10th Feb 97
93,Super Smash Bros. for 3DS,3DS,Nintendo,Bandai Namco Games,8.4,8.32,3.73,1.5,2.55,0.54,03rd Oct 14
94,Call of Duty 4: Modern Warfare,X360,Activision,Infinity Ward,9.6,9.41,5.98,2.39,0.13,0.91,05th Nov 07
95,Gran Turismo 2,PS,Sony Computer Entertainment,Polyphony Digital,9.2,9.49,3.88,3.42,1.69,0.5,17th Jan 99
96,Wii Party,Wii,Nintendo,"Nd Cube Co., Ltd.",7.0,8.41,1.75,3.51,2.49,0.66,03rd Oct 10
97,Call of Duty: Black Ops IIII,PS4,Activision,Treyarch,,9.32,4.05,3.28,0.5,1.49,12th Oct 18
98,Mario Party DS,DS,Nintendo,Hudson Soft,7.1,8.93,4.4,1.86,1.98,0.69,19th Nov 07
99,Donkey Kong Country,SNES,Nintendo,Rare Ltd.,9.0,9.3,4.36,1.71,3.0,0.23,21st Nov 94
100,Half-Life,PC,Sierra Entertainment,Valve Software,9.5,4.12,4.03,0.0,0.09,,19th Nov 98
101,Uncharted 3: Drake's Deception,PS3,Sony Computer Entertainment,Naughty Dog,9.3,6.84,2.77,2.81,0.19,1.06,01st Nov 11
102,FIFA 19,PS4,Electronic Arts,EA Sports,,9.15,0.84,6.87,0.1,1.34,28th Sep 18
103,Pokémon: Ultra Sun and Ultra Moon,3DS,Nintendo,Game Freak,8.1,7.15,2.46,1.74,2.55,0.4,17th Nov 17
104,The Elder Scrolls V: Skyrim,X360,Bethesda Softworks,Bethesda Game Studios,9.3,8.88,5.1,2.83,0.1,0.85,11th Nov 11
105,Mario Party 8,Wii,Nintendo,Hudson Soft,6.5,8.3,3.74,2.27,1.58,0.7,29th May 07
106,Super Mario Kart,SNES,Nintendo,Nintendo EAD,10.0,8.76,3.54,1.24,3.81,0.18,01st Sep 92
107,Grand Theft Auto V,XOne,Rockstar Games,Rockstar North,9.0,8.72,4.7,3.25,0.01,0.76,18th Nov 14
108,Final Fantasy VIII,PS,Square EA,SquareSoft,9.4,7.86,2.28,1.72,3.63,0.23,07th Sep 99
109,Final Fantasy X,PS2,Square,SquareSoft,9.0,8.05,2.91,2.07,2.73,0.33,17th Dec 01
110,Pokémon Black 2 and White 2,DS,Nintendo,Game Freak,8.0,8.16,2.79,1.79,3.16,0.43,07th Oct 12
111,Call of Duty: Infinite Warfare,PS4,Activision,Infinity Ward,,8.48,3.11,3.83,0.19,1.36,04th Nov 16
112,Fallout 4,PS4,Bethesda Softworks,Bethesda Game Studios,8.6,8.48,2.91,3.97,0.27,1.34,10th Nov 15
113,Mario Kart 8,WiiU,Nintendo,Nintendo,8.8,7.69,3.22,2.55,1.39,0.54,30th May 14
114,Tekken 3,PS,Namco,Namco,9.6,7.16,3.27,2.22,1.4,0.29,29th Apr 98
115,FIFA 16,PS4,EA Sports,EA Canada,8.5,8.22,1.15,5.77,0.07,1.23,22nd Sep 15
116,The Last of Us,PS3,Sony Computer Entertainment America,Naughty Dog,9.5,6.27,2.41,2.57,0.29,0.99,14th Jun 13
117,GoldenEye 007,N64,Nintendo,Rare Ltd.,9.8,8.09,5.8,2.01,0.13,0.15,25th Aug 97
118,Star Wars Battlefront (2015),PS4,Electronic Arts,EA DICE,7.1,8.03,3.31,3.19,0.23,1.3,17th Nov 15
119,FIFA 13,PS3,EA Sports,EA Canada,,8.01,1.07,5.13,0.13,1.68,25th Sep 12
120,Halo 2,XB,Microsoft Game Studios,Bungie Studios,9.6,8.49,6.82,1.53,0.05,0.08,09th Nov 04
121,Harry Potter and the Sorcerer's Stone,PS,Electronic Arts,Argonaut Games,8.0,3.73,1.37,2.0,0.14,0.22,15th Nov 01
122,Sid Meier's Civilization V,PC,2K Games,Firaxis Games,8.9,1.7,1.0,0.53,,0.17,21st Sep 10
123,The Sims 3,PC,Electronic Arts,EA Redwood Shores,8.5,7.96,1.01,6.46,,0.5,02nd Jun 09
124,Grand Theft Auto: Liberty City Stories,PSP,Rockstar Games,Rockstar Leeds,8.8,7.72,2.9,2.83,0.24,1.74,25th Oct 05
125,Pac-Man,2600,Atari,Atari,,7.81,7.28,0.45,,0.08,01st Mar 82
