Game_Rank,Name,Platform,Publisher,Developer,Critic_Score,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Release_Date
85,"Call of Duty: Ghosts",X360,Activision,"Infinity Ward",6.9,10.410,6.760,2.640,0.040,0.980,2013-11-05
86,"Just Dance 3",Wii,Ubisoft,"Ubisoft Paris",7.5,10.140,5.950,3.130,0.000,1.060,2011-10-07
87,"Call of Duty: Ghosts",PS3,Activision,"Infinity Ward",7.5,10.130,4.110,4.010,0.390,1.620,2013-11-05
88,"Horizon: Zero Dawn",PS4,"Sony Interactive Entertainment","Guerrilla Games",9.1,5.820,2.200,2.430,0.280,0.920,2017-02-28
89,"Halo: Reach",X360,"Microsoft Game Studios",Bungie,9.3,9.970,7.080,2.010,0.080,0.800,2010-09-14
90,"Halo 4",X360,"Microsoft Studios","343 Industries",0.0,9.960,6.720,2.360,0.040,0.830,2012-11-06
91,"Final Fantasy VII",PS,"Sony Computer Entertainment",SquareSoft,9.6,9.720,3.010,2.470,3.280,0.960,1997-09-03
92,"Mario Kart 64",N64,Nintendo,"Nintendo EAD",8.5,9.870,5.550,1.940,2.230,0.150,1997-02-10
93,"Super Smash Bros. for 3DS",3DS,Nintendo,"Bandai Namco Games",8.4,8.320,3.730,1.500,2.550,0.540,2014-10-03
94,"Call of Duty 4: Modern Warfare",X360,Activision,"Infinity Ward",9.6,9.410,5.980,2.390,0.130,0.910,2007-11-05
95,"Gran Turismo 2",PS,"Sony Computer Entertainment","Polyphony Digital",9.2,9.490,3.880,3.420,1.690,0.500,1999-01-17
96,"Wii Party",Wii,Nintendo,"Nd Cube Co., Ltd.",7.0,8.410,1.750,3.510,2.490,0.660,2010-10-03
97,"Call of Duty: Black Ops IIII",PS4,Activision,Treyarch,0.0,9.320,4.050,3.280,0.500,1.490,2018-10-12
98,"Mario Party DS",DS,Nintendo,"Hudson Soft",7.1,8.930,4.400,1.860,1.980,0.690,2007-11-19
99,"Donkey Kong Country",SNES,Nintendo,"Rare Ltd.",9.0,9.300,4.360,1.710,3.000,0.230,1994-11-21
100,Half-Life,PC,"Sierra Entertainment","Valve Software",9.5,4.120,4.030,0.000,0.090,0.000,1998-11-19
101,"Uncharted 3: Drake's Deception",PS3,"Sony Computer Entertainment","Naughty Dog",9.3,6.840,2.770,2.810,0.190,1.060,2011-11-01
102,"FIFA 19",PS4,"Electronic Arts","EA Sports",0.0,9.150,0.840,6.870,0.100,1.340,2018-09-28
103,"Pokémon: Ultra Sun and Ultra Moon",3DS,Nintendo,"Game Freak",8.1,7.150,2.460,1.740,2.550,0.400,2017-11-17
104,"The Elder Scrolls V: Skyrim",X360,"Bethesda Softworks","Bethesda Game Studios",9.3,8.880,5.100,2.830,0.100,0.850,2011-11-11
105,"Mario Party 8",Wii,Nintendo,"Hudson Soft",6.5,8.300,3.740,2.270,1.580,0.700,2007-05-29
106,"Super Mario Kart",SNES,Nintendo,"Nintendo EAD",10.0,8.760,3.540,1.240,3.810,0.180,1992-09-01
107,"Grand Theft Auto V",XOne,"Rockstar Games","Rockstar North",9.0,8.720,4.700,3.250,0.010,0.760,2014-11-18
108,"Final Fantasy VIII",PS,"Square EA",SquareSoft,9.4,7.860,2.280,1.720,3.630,0.230,1999-09-07
109,"Final Fantasy X",PS2,Square,SquareSoft,9.0,8.050,2.910,2.070,2.730,0.330,2001-12-17
110,"Pokémon Black 2 and White 2",DS,Nintendo,"Game Freak",8.0,8.160,2.790,1.790,3.160,0.430,2012-10-07
111,"Call of Duty: Infinite Warfare",PS4,Activision,"Infinity Ward",0.0,8.480,3.110,3.830,0.190,1.360,2016-11-04
112,"Fallout 4",PS4,"Bethesda Softworks","Bethesda Game Studios",8.6,8.480,2.910,3.970,0.270,1.340,2015-11-10
113,"Mario Kart 8",WiiU,Nintendo,Nintendo,8.8,7.690,3.220,2.550,1.390,0.540,2014-05-30
114,"Tekken 3",PS,Namco,Namco,9.6,7.160,3.270,2.220,1.400,0.290,1998-04-29
115,"FIFA 16",PS4,"EA Sports","EA Canada",8.5,8.220,1.150,5.770,0.070,1.230,2015-09-22
116,"The Last of Us",PS3,"Sony Computer Entertainment America","Naughty Dog",9.5,6.270,2.410,2.570,0.290,0.990,2013-06-14
117,"GoldenEye 007",N64,Nintendo,"Rare Ltd.",9.8,8.090,5.800,2.010,0.130,0.150,1997-08-25
118,"Star Wars Battlefront (2015)",PS4,"Electronic Arts","EA DICE",7.1,8.030,3.310,3.190,0.230,1.300,2015-11-17
119,"FIFA 13",PS3,"EA Sports","EA Canada",0.0,8.010,1.070,5.130,0.130,1.680,2012-09-25
120,"Halo 2",XB,"Microsoft Game Studios","Bungie Studios",9.6,8.490,6.820,1.530,0.050,0.080,2004-11-09
121,"Harry Potter and the Sorcerer's Stone",PS,"Electronic Arts","Argonaut Games",8.0,3.730,1.370,2.000,0.140,0.220,2001-11-15
122,"Sid Meier's Civilization V",PC,"2K Games","Firaxis Games",8.9,1.700,1.000,0.530,0.000,0.170,2010-09-21
123,"The Sims 3",PC,"Electronic Arts","EA Redwood Shores",8.5,7.960,1.010,6.460,0.000,0.500,2009-06-02
124,"Grand Theft Auto: Liberty City Stories",PSP,"Rockstar Games","Rockstar Leeds",8.8,7.720,2.900,2.830,0.240,1.740,2005-10-25
125,Pac-Man,2600,Atari,Atari,0.0,7.810,7.280,0.450,0.000,0.080,1982-03-01
126,"God of War III",PS3,"Sony Computer Entertainment","SCEA Santa Monica Studio",9.2,4.810,2.740,1.360,0.120,0.600,2010-03-16
127,"Pokémon Platinum Version",DS,Nintendo,"Game Freak",8.3,7.720,2.760,1.730,2.690,0.540,2009-03-22
128,"The Legend of Zelda: Ocarina of Time",N64,Nintendo,"Nintendo EAD",9.9,7.600,4.100,1.890,1.450,0.160,1998-11-23
129,"Call of Duty: Advanced Warfare",PS4,Activision,"Sledgehammer Games",8.5,7.530,2.840,3.340,0.140,1.220,2014-11-04
130,"Call of Duty: World at War",X360,Activision,Treyarch,8.5,7.500,4.880,1.910,0.000,0.710,2008-11-10
131,"Super Mario Bros. 2",NES,Nintendo,"Nintendo EAD",0.0,7.460,5.390,1.180,0.700,0.190,1988-10-01
132,"Super Mario Galaxy 2",Wii,Nintendo,"Nintendo EAD Tokyo",9.7,7.570,3.590,2.370,0.980,0.620,2010-05-23
133,"Super Smash Bros. Melee",GC,Nintendo,"HAL Laboratory",9.2,7.070,4.410,1.040,1.390,0.220,2001-12-02
134,"Call of Duty: Black Ops 3",XOne,Activision,Treyarch,0.0,7.370,4.630,2.040,0.020,0.680,2015-11-06
135,"Battlefield 3",X360,"Electronic Arts",Dice,8.5,7.350,4.470,2.120,0.060,0.690,2011-10-25
136,"Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters",3DS,Nintendo,"Level 5",0.0,3.650,0.220,0.200,3.190,0.040,2016-09-30
137,"The Legend of Zelda: Twilight Princess",Wii,Nintendo,"Nintendo EAD",9.5,7.180,3.740,2.160,0.600,0.690,2006-11-19
138,"Battlefield 1",PS4,"Electronic Arts","EA DICE",9.1,7.260,2.200,3.650,0.290,1.120,2016-10-21
139,"Battlefield 3",PS3,"Electronic Arts",Dice,8.5,7.210,2.860,2.940,0.350,1.070,2011-10-25
140,"Need for Speed Underground",PS2,"Electronic Arts","EA Black Box",8.6,7.200,3.270,2.830,0.080,1.020,2003-11-17
141,"Pokémon Emerald Version",GBA,Nintendo,"Game Freak",7.7,6.410,2.570,1.580,2.060,0.210,2005-04-30
142,"Guild Wars 2",PC,NCSoft,ArenaNet,0.0,2.370,1.010,1.110,0.000,0.250,2012-08-28
143,"Metal Gear Solid 2: Sons of Liberty",PS2,Konami,"Konami Computer Entertainment Japan",9.5,6.050,2.450,2.010,0.870,0.720,2001-11-12
144,"Need for Speed Underground 2",PS2,"Electronic Arts","EA Black Box",8.3,6.900,2.710,3.020,0.080,1.090,2004-11-15
145,"Just Dance 4",Wii,Ubisoft,Ubisoft,0.0,6.890,4.050,2.210,0.000,0.620,2012-10-09
146,"Mario Kart: Double Dash!!",GC,Nintendo,"Nintendo EAD",8.5,6.950,4.120,1.770,0.870,0.190,2003-11-17
147,"Medal of Honor: Frontline",PS2,"Electronic Arts","EA Los Angeles",9.0,6.830,2.930,2.750,0.170,0.990,2002-05-28
148,"Crash Bandicoot",PS,"Sony Computer Entertainment","Naughty Dog",7.8,6.820,3.230,2.350,0.940,0.300,1996-09-01
149,"Uncharted 2: Among Thieves",PS3,"Sony Computer Entertainment","Naughty Dog",9.5,6.740,3.280,2.220,0.210,1.020,2009-10-13
150,"Call of Duty 4: Modern Warfare",PS3,Activision,"Infinity Ward",9.5,6.720,3.130,2.270,0.280,1.040,2007-11-05
151,"Tomodachi Life",3DS,Nintendo,Nintendo,7.8,5.880,0.970,2.640,1.980,0.280,2014-06-06
152,"FIFA Soccer 12",PS3,"EA Sports","EA Canada",9.2,6.650,0.840,4.330,0.110,1.370,2011-09-27
153,"FIFA 14",PS3,"EA Sports","EA Canada",0.0,6.610,0.790,4.770,0.070,0.980,2013-09-24
154,"Fallout 4",PC,"Bethesda Softworks","Bethesda Game Studios",9.0,1.400,0.570,0.720,0.000,0.110,2015-11-10
155,"Red Dead Redemption",PS3,"Rockstar Games","Rockstar San Diego",9.5,6.570,2.820,2.580,0.170,1.000,2011-10-11
